Active Ingredient,Drug Class,SMILES,# Atoms,Length,ERROR_STATUS,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonGenotoxic_Carcinogenicity,LD50_oral,Genotoxic_Carcinogenicity_Mutagenicity,SureChEMBL,NonBiodegradable,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
TIMOLOL,,CC(C)(C)NC[C@H](O)COc1nsnc1N2CCOCC2,21,35,SUCCESS,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,-1.545,1.798,1.794,0.004,0.03,0.003,0.003,0.003,-4.712,1.91E-05,0.596,13.07%,0.859,87.54%,0.039,0.096,0.057,0.911,0.005,0.113,0.888,0.878,0.145,0.78,9.264,0.913,0.021,0.814,0.024,0.139,0.005,0.948,0.954,0.96,0.005,0.012,0.79,0.07,1.55,2.982,2.668,0,0.001,0.016,0.001,0.022,0.004,0.011,0.029,0.003,0.011,0.004,0.004,316.16,299.885,1.054,7,2,79.74,7,2,6,8,0,11,0.636,1,0,0,1,0,2,0,0,0,0.791,3.191,0.846,43.333,-1.474,1,0,0,0,Accepted,Accepted,Accepted,Accepted
KETAMINE HYDROCHLORIDE,,[H+].[Cl-].CNC1(CCCCC1=O)c2ccccc2Cl,18,35,SUCCESS,CNC1(c2ccccc2Cl)CCCCC1=O,-1.86,2.067,2.518,0.008,0.003,0.003,0.002,0.113,-4.386,1.94E-05,0.994,50.09%,2.906,59.36%,0.147,0.926,0.389,0.955,0.039,0.952,0.048,0.679,0.202,0.92,8.757,0.816,0.049,0.416,0.082,0.038,0.807,0.917,0.212,0.09,0.004,0.014,0.705,0.578,2.968,3.323,3.487,0.004,0.002,0.048,0.006,0.122,0.003,0.004,0.148,0.018,0.003,0.109,0.005,237.09,240.744,0.985,2,1,29.1,2,2,6,3,0,13,0.154,1,1,0,0,0,2,1,1,0,0.857,2.962,0.462,42.316,0.022,0,0,0,0,Accepted,Accepted,Accepted,Accepted
DIAZEPAM,,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,20,35,SUCCESS,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,-4.073,2.571,2.823,0.053,0.996,0.003,0.002,0.002,-4.562,2.66E-05,0.998,94.38%,1.271,5.16%,0.808,0.965,0.824,0.873,0.646,0.524,0.044,0.043,0.209,0.939,0.408,0.079,0.223,0.117,0.826,0.009,0.24,0.986,0.155,0.039,0.003,0.02,0.024,2.19,4.139,4.566,4.765,0.774,0.163,0.164,0.016,0.38,0.006,0.005,0.204,0.903,0.003,0.248,0.794,284.07,284.526,0.998,3,0,32.67,1,3,11,4,0,19,0.053,0,1,0,1,0,1,1,1,1,0.792,2.121,0.125,33.778,-0.558,0,0,0,0,Accepted,Accepted,Accepted,Accepted
IBUPROFEN SODIUM,,[Na+].CC(C)Cc1ccc(cc1)C(C)C([O-])=O,16,35,SUCCESS,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1,-2.422,0.99,2.602,0.001,0,0.003,0.005,0.005,-4.436,3.71E-05,0.972,73.36%,0.609,23.02%,0.086,0.114,0.092,0.886,0.598,0.975,0.003,0.084,0.015,0.244,1.437,0.427,0.028,0.862,0.872,0.045,0.171,0.02,0.368,0.369,0.048,0.632,0.033,1.166,3.844,4.246,4.63,0.617,0.003,0.006,0.007,0.147,0.032,0.183,0.026,0.004,0.192,0.011,0.005,205.12,230.564,0.89,2,0,40.13,4,1,6,2,-1,7,0.571,1,0,0,0,0,0,0,0,0,0.751,2.81,0.462,16,-0.234,0,0,0,0,Accepted,Accepted,Accepted,Accepted
LORAZEPAM,,OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O,21,35,SUCCESS,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)NC1=O,-5.054,3.043,3.471,0.379,0.046,0.005,0.002,0.012,-4.82,1.43E-05,0.793,97.28%,0.681,1.78%,0.553,0.325,0.566,0.604,0.64,0.951,0.342,0.178,0.431,0.786,0.895,0.168,0.041,0.749,0.961,0.104,0.064,0.886,0.113,0.129,0.003,0.018,0.042,0.833,4.099,5.321,4.694,0.012,0.005,0.94,0.337,0.453,0.016,0.693,0.699,0.367,0.286,0.848,0.779,320.01,291.231,1.099,4,2,58.2,1,3,11,6,0,20,0.05,1,1,0,1,0,1,5,1,1,0.793,2.85,0.067,53.125,-0.646,0,0,0,0,Accepted,Rejected,Accepted,Accepted
DIETHYLSTILBESTROL,,CC\C(c1ccc(O)cc1)=C(CC)/c2ccc(O)cc2,20,35,SUCCESS,CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-3.724,3.816,4.039,0.263,0.003,0.004,0.015,0.052,-4.78,1.33E-05,0.107,97.72%,1.284,1.39%,0.921,0.887,0.96,0.16,0.82,0.977,0.936,0.857,0.783,0.428,11.87,0.833,0.282,0.133,0.027,0.03,0.161,0.644,0.568,0.124,0.004,0.258,0.634,1.703,4.893,5.63,5.971,0.068,0.022,0.192,0.456,0.969,0.993,0.023,0.911,0.283,0.863,0.983,0.838,268.15,301.897,0.888,2,2,40.46,4,2,6,2,0,13,0.308,1,0,0,0,0,0,1,0,1,0.844,2.809,0.222,24,0.173,1,0,0,0,Accepted,Rejected,Rejected,Accepted
ARMODAFINIL,,NC(=O)C[S@@](=O)C(c1ccccc1)c2ccccc2,19,35,SUCCESS,NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1,-2.192,0.804,1.319,0.015,0.921,0.006,0.004,0.002,-4.908,0.000146,0.982,79.04%,0.388,18.10%,0.058,0.087,0.046,0.384,0.089,0.186,0.388,0.173,0.103,0.8,3.361,0.276,0.036,0.708,0.96,0.763,0.005,0.118,0.888,0.742,0.003,0.213,0.082,0.586,3.286,3.378,4.076,0.007,0.002,0.018,0.003,0.164,0.006,0.015,0.307,0.007,0.003,0.012,0.002,273.08,279.514,0.977,3,2,66.15,5,2,6,4,0,13,0.385,1,0,0,0,1,0,0,0,2,0.847,3.251,0.133,22,-0.241,2,0,0,0,Accepted,Accepted,Accepted,Accepted
BETAZOLE HYDROCHLORIDE,,[H+].[H+].[Cl-].[Cl-].NCCc1[nH]ncc1,12,35,SUCCESS,NCCc1cc[nH]n1,0.952,-1.316,-0.755,0,0.306,0.029,0.004,0.005,-5.03,4.73E-06,0.78,3.63%,0.992,89.35%,0.018,0.395,0.027,0.062,0.01,0.887,0.005,0.666,0.006,0.073,6.812,0.729,0.059,0.207,0.039,0.038,0.032,0.767,0.323,0.047,0.004,0.097,0.579,0.205,1.664,2.361,3.457,0.038,0.004,0.035,0.006,0.067,0.009,0.004,0.027,0.012,0.007,0.005,0.005,111.08,114.197,0.973,3,3,54.7,2,1,5,3,0,5,0.4,0,0,0,0,0,0,1,1,0,0.56,3.517,0.4,4,-1.418,0,0,0,0,Accepted,Accepted,Accepted,Rejected
TAPENTADOL,,CC[C@H]([C@@H](C)CN(C)C)c1cccc(O)c1,16,35,SUCCESS,CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C,-1.526,2.793,3.268,0,0.05,0.004,0.018,0.125,-4.466,1.26E-05,0.988,24.39%,3.605,61.43%,0.22,0.879,0.027,0.964,0.02,0.571,0.861,0.916,0.046,0.82,11.256,0.71,0.305,0.466,0.057,0.008,0.834,0.223,0.835,0.055,0.939,0.324,0.968,1.068,3.913,4.743,4.919,0.025,0.002,0.003,0.006,0.247,0.006,0.004,0.045,0.005,0.004,0.156,0.009,221.18,254.021,0.871,2,1,23.47,5,1,6,2,0,6,0.833,2,0,0,0,0,1,1,0,1,0.826,3.09,0.571,16,-0.024,1,0,0,0,Accepted,Rejected,Accepted,Accepted
THIORIDAZINE,,CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1,25,35,SUCCESS,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,-5.599,4.448,5.75,0.979,0.998,0.004,0.922,0.957,-4.531,1.43E-05,0.988,93.19%,3.18,2.40%,0.61,0.953,0.302,0.98,0.016,0.519,0.993,0.939,0.153,0.922,13.184,0.021,0.982,0.527,0.945,0.127,0.158,0.788,0.461,0.54,0.003,0.011,0.941,1.572,5.149,5.269,5.794,0.348,0.003,0.154,0.781,0.321,0.022,0.003,0.512,0.003,0.019,0.499,0.763,370.15,380.739,0.972,2,0,6.48,4,4,14,4,0,22,0.182,1,0,1,1,0,0,0,0,1,0.619,2.943,0.429,66.667,-1.027,1,0,0,0,Accepted,Rejected,Rejected,Accepted
SODIUM ASCORBATE,,[Na+].OC[C@H](O)C1OC(=O)[C-](O)C1=O,13,35,SUCCESS,O=c1oc([C@@H](O)CO)c(O)[c-]1O,-0.431,-0.853,-1.694,0.001,0.935,0.021,0.476,0.981,-5.58,0.000336,0.228,38.22%,0.777,53.59%,0.014,0.054,0.014,0.062,0.005,0.535,0.002,0.138,0.005,0.024,4.17,0.877,0.142,0.284,0.949,0.015,0.06,0.057,0.453,0.133,0.005,0.262,0.078,0.164,1.802,2.732,2.64,0.024,0.076,0.031,0.015,0.115,0.007,0.058,0.288,0.023,0.01,0.031,0.057,175.02,149.926,1.167,6,4,111.13,2,1,5,6,-1,6,0.333,1,0,0,0,0,1,1,1,1,0.42,4.936,0.333,16,0.796,1,0,0,0,Accepted,Accepted,Accepted,Rejected
PIPERAZINE CITRATE,,OC(=O)CC(O)(CC(O)=O)C(O)=O.C1CNCCN1,19,35,SUCCESS,O=C(O)CC(O)(CC(=O)O)C(=O)O,-0.155,-0.481,-0.577,0,0.041,0.398,0.008,0.004,-6.1,0.003886,0.067,17.32%,0.379,69.82%,0.005,0.026,0.021,0.034,0.018,0.096,0.007,0.076,0.028,0.002,1.287,0.812,0.002,0.124,0.708,0.024,0.001,0.008,0.229,0.009,0.989,0.978,0.018,-0.196,2.126,2.504,2.786,0.012,0.021,0.031,0.003,0.09,0.021,0.043,0.014,0.003,0.013,0.016,0.012,192.03,165.955,1.157,7,4,132.13,5,0,0,7,0,3,1.667,0,0,0,0,0,0,0,1,0,0.427,2.452,0.5,0,1.055,0,1,0,0,Accepted,Accepted,Accepted,Rejected
BENZNIDAZOLE,,[O-][N+](=O)c1nccn1CC(=O)NCc2ccccc2,19,35,SUCCESS,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-1.445,1.328,0.739,0,0.003,0.031,0.002,0,-4.29,0.00019,0.578,66.09%,0.664,36.10%,0.194,0.067,0.405,0.081,0.226,0.556,0.013,0.318,0.059,0.193,8.615,0.816,0.044,0.722,0.765,0.973,0.021,0.396,0.336,0.836,0.003,0.014,0.052,0.483,2.269,2.716,3.387,0.015,0.03,0.023,0.005,0.073,0.013,0.005,0.053,0.01,0.043,0.014,0.005,260.09,250.898,1.037,7,1,90.06,6,2,6,7,0,13,0.462,0,0,0,5,0,2,1,0,2,0.644,2.091,0.167,11,-1.418,1,0,0,0,Accepted,Accepted,Accepted,Accepted
CLOFARABINE,,Nc1nc(Cl)nc2n(cnc12)C3OC(CO)C(O)C3F,20,35,SUCCESS,N=c1[nH]c(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,-2.139,0.22,-0.757,0,0.098,0.012,0.012,0.011,-5.558,2.66E-05,0.784,25.36%,3.901,63.49%,0.088,0.924,0.076,0.057,0.007,0.082,0.007,0.097,0.019,0.173,9.744,0.762,0.011,0.92,0.981,0.091,0.634,0.036,0.076,0.931,0.003,0.011,0.977,0.308,2.142,3.715,4.774,0.002,0.002,0.316,0.171,0.092,0.166,0.004,0.174,0.013,0.006,0.021,0.712,303.05,247.934,1.222,8,4,120.04,2,3,9,10,0,16,0.125,4,1,0,0,1,2,4,4,2,0.557,4.41,0.5,63.6,0.6,0,0,0,0,Accepted,Accepted,Accepted,Accepted
THALIDOMIDE,,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,19,35,SUCCESS,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-2.535,0.36,0.36,0.008,0.003,0.013,0.047,0.329,-4.778,4.23E-05,0.997,60.33%,0.223,47.82%,0.026,0.487,0.103,0.103,0.046,0.942,0.443,0.195,0.024,0.694,1.309,0.65,0.006,0.233,0.898,0.02,0.679,0.015,0.298,0.016,0.003,0.02,0.017,0.263,3.003,3.196,3.708,0.378,0.016,0.075,0.012,0.271,0.006,0.004,0.15,0.006,0.006,0.025,0.006,258.06,246.434,1.047,6,1,83.55,1,3,9,6,0,20,0.05,1,0,0,0,0,0,3,0,0,0.723,2.597,0.231,57.375,-0.237,1,0,0,0,Accepted,Accepted,Accepted,Accepted
SULFAMETER,,COc1cnc(N[S](=O)(=O)c2ccc(N)cc2)nc1,19,35,SUCCESS,COc1cnc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c1,-2.229,-0.212,0.065,0,0.005,0.005,0.001,0.085,-4.922,1.40E-05,0.016,70.10%,0.621,31.97%,0.037,0.609,0.124,0.198,0.082,0.395,0.103,0.088,0.224,0.491,3.42,0.241,0.112,0.961,0.985,0.022,0.067,0.315,0.165,0.663,0.003,0.06,0.081,0.15,2.242,2.583,4.399,0.008,0.003,0.072,0.041,0.114,0.005,0.003,0.141,0.019,0.004,0.092,0.007,280.06,254.747,1.099,7,3,110.43,3,2,6,8,0,15,0.2,0,0,0,4,0,0,2,0,1,0.785,2.939,0.091,13,-0.972,3,0,0,0,Accepted,Accepted,Accepted,Accepted
OXAPROZIN,,OC(=O)CCc1oc(c2ccccc2)c(n1)c3ccccc3,22,35,SUCCESS,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,-4.379,3.398,3.577,0.002,0.001,0.006,0.003,0.001,-4.663,3.42E-05,0.195,98.92%,0.558,0.66%,0.427,0.111,0.05,0.062,0.423,0.866,0.003,0.142,0.004,0.146,3.766,0.797,0.015,0.866,0.99,0.024,0.185,0.019,0.135,0.106,0.003,0.024,0.88,0.516,3.295,4.412,4.011,0.012,0.439,0.624,0.466,0.44,0.005,0.984,0.801,0.092,0.022,0.158,0.268,293.11,307.854,0.952,4,1,63.33,5,3,6,4,0,18,0.278,0,0,0,0,0,0,0,0,0,0.771,1.914,0.111,15,-0.328,0,0,0,0,Accepted,Rejected,Accepted,Accepted
TETRAHYDROZOLINE HYDROCHLORIDE,,[H+].[Cl-].C1CC(C2=NCCN2)c3ccccc3C1,17,35,SUCCESS,c1ccc2c(c1)CCCC2C1=NCCN1,-2.824,2.029,2.984,0.005,0.992,0.003,0.01,0.891,-4.706,1.88E-05,0.473,40.51%,3.96,57.10%,0.075,0.722,0.042,0.804,0.007,0.359,0.919,0.914,0.069,0.475,13.57,0.3,0.112,0.11,0.038,0.322,0.686,0.88,0.439,0.09,0.003,0.02,0.965,0.477,3.256,3.632,4.487,0.008,0.008,0.788,0.133,0.534,0.335,0.055,0.079,0.033,0.727,0.281,0.601,200.13,219.183,0.913,2,1,24.39,1,3,10,2,0,16,0.062,1,0,0,0,0,0,0,1,0,0.737,2.979,0.462,47.211,-0.03,0,0,0,0,Accepted,Accepted,Accepted,Accepted
RIVASTIGMINE,,CCN(C)C(=O)Oc1cccc(c1)[C@H](C)N(C)C,18,35,SUCCESS,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,-1.978,1.637,2.189,0.155,0.23,0.021,0.007,0.035,-4.873,1.43E-05,0.975,42.94%,1.081,68.28%,0.333,0.853,0.077,0.963,0.015,0.521,0.386,0.887,0.085,0.837,13.812,0.832,0.051,0.052,0.133,0.066,0.963,0.918,0.26,0.293,0.021,0.088,0.949,0.537,3.674,4.513,5.665,0.006,0.002,0.006,0.003,0.533,0.013,0.005,0.033,0.003,0.002,0.005,0.006,250.17,271.172,0.923,4,0,32.78,6,1,6,4,0,7,0.857,1,0,2,1,0,1,1,1,1,0.823,2.672,0.5,18,-0.977,1,0,0,0,Accepted,Accepted,Accepted,Accepted
ISOSORBIDE,,O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12,10,35,SUCCESS,O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,-0.115,-0.751,-0.933,0,0.969,0.011,0.188,0.276,-5.09,7.46E-05,0.393,13.20%,1.388,85.80%,0.03,0.103,0.031,0.416,0.007,0.058,0.009,0.238,0.011,0.07,2.413,0.663,0.102,0.689,0.09,0.136,0.652,0.058,0.658,0.183,0.521,0.834,0.778,0.491,2.173,2.128,3.402,0.233,0.032,0.013,0.191,0.082,0.043,0.007,0.152,0.036,0.072,0.007,0.037,146.06,130.38,1.12,4,2,58.92,0,2,8,4,0,9,0,4,0,0,0,0,1,0,2,0,0.437,4.12,1,30,1.159,0,0,0,0,Accepted,Accepted,Accepted,Rejected
ONDANSETRON,,Cn1c2CCC(Cn3ccnc3C)C(=O)c2c4ccccc14,22,35,SUCCESS,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,-2.325,2.067,1.686,0.035,0.002,0.007,0.006,0.003,-4.681,2.95E-05,0.988,81.47%,1.792,15.23%,0.93,0.893,0.767,0.864,0.333,0.797,0.864,0.881,0.72,0.695,3.617,0.3,0.685,0.834,0.28,0.948,0.349,0.914,0.075,0.956,0.003,0.019,0.614,0.794,4.18,3.177,4.494,0.008,0.003,0.794,0.007,0.082,0.028,0.009,0.042,0.007,0.045,0.025,0.009,293.15,308.984,0.949,4,0,39.82,2,4,13,4,0,21,0.095,1,0,0,0,0,0,1,0,3,0.728,3.06,0.333,68.25,-0.544,0,0,0,0,Accepted,Accepted,Accepted,Accepted
CHLORMEZANONE,,CN1C(c2ccc(Cl)cc2)[S](=O)(=O)CCC1=O,17,35,SUCCESS,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,-2.167,1.508,1.248,0.003,0.03,0.009,0.002,0.003,-5.599,2.13E-05,0.997,51.54%,0.878,59.59%,0.031,0.747,0.104,0.855,0.047,0.477,0.011,0.094,0.033,0.839,2.084,0.339,0.013,0.769,0.976,0.014,0.038,0.029,0.131,0.265,0.003,0.015,0.008,0.388,1.983,2.8,3.774,0.009,0.004,0.009,0.009,0.072,0.008,0.013,0.237,0.006,0.008,0.009,0.033,273.02,242.241,1.127,4,0,54.45,1,2,6,6,0,15,0.067,1,1,0,0,0,1,1,1,0,0.781,3.133,0.364,47.6,-0.736,2,0,0,0,Accepted,Accepted,Accepted,Accepted
CHLORPROTHIXENE,,CN(C)CC\C=C/1c2ccccc2Sc3ccc(Cl)cc13,21,35,SUCCESS,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,-5.836,4.105,5.084,0.992,0.991,0.002,0.003,0.008,-4.439,7.65E-06,0.997,93.83%,3.662,2.19%,0.749,0.96,0.098,0.971,0.022,0.028,0.978,0.913,0.184,0.922,12.131,0.009,0.879,0.921,0.964,0.749,0.907,0.862,0.374,0.688,0.003,0.013,0.967,2.616,4.989,5.802,6.004,0.012,0.003,0.005,0.239,0.263,0.004,0.003,0.162,0.006,0.003,0.212,0.737,315.08,320.476,0.983,1,0,3.24,3,3,14,3,0,17,0.176,0,1,0,0,0,2,1,1,0,0.654,2.431,0.222,32,-0.83,1,0,0,1,Accepted,Rejected,Rejected,Accepted
LORCASERIN HYDROCHLORIDE,,[Cl-].C[C@H]1CNCCc2ccc(Cl)cc12.[H+],15,35,SUCCESS,C[C@H]1CNCCc2ccc(Cl)cc21,-2.456,2.701,2.962,0.026,0.983,0.003,0.003,0.028,-4.628,1.53E-05,0.996,84.69%,3.322,17.08%,0.807,0.891,0.136,0.931,0.009,0.115,0.967,0.9,0.088,0.661,8.632,0.247,0.696,0.841,0.167,0.785,0.902,0.96,0.375,0.05,0.006,0.048,0.904,1.611,4.087,5.641,5.227,0.013,0.002,0.049,0.007,0.093,0.005,0.003,0.041,0.012,0.084,0.011,0.008,195.08,199.998,0.975,1,1,12.03,0,2,11,2,0,12,0,1,1,0,0,0,1,0,1,0,0.671,2.71,0.455,35,-0.326,0,0,0,0,Accepted,Accepted,Accepted,Rejected
UNDECOYLIUM CHLORIDE IODINE COMPLEX,,[Cl-].CCC(=O)OCCNC(=O)C[n+]1ccccc1,18,34,SUCCESS,CCC(=O)OCCNC(=O)C[n+]1ccccc1,-0.128,-0.077,-0.101,0,0.998,0.951,0.734,0.991,-5.202,6.19E-05,0.675,11.97%,0.951,86.90%,0.014,0.081,0.027,0.051,0.002,0.02,0.324,0.065,0.003,0.126,8.599,0.936,0.031,0.026,0.282,0.029,0.003,0.018,0.293,0.03,0.006,0.25,0.034,0.185,1.589,2.874,2.014,0.015,0.055,0.007,0.003,0.065,0.009,0.004,0.058,0.007,0.007,0.009,0.008,237.12,244.052,0.972,5,1,59.28,8,1,6,5,1,8,1,0,0,0,0,1,1,0,0,0,0.432,2.467,0.417,6,-0.776,0,0,0,0,Accepted,Accepted,Accepted,Accepted
LENALIDOMIDE,,Nc1cccc2C(=O)N(Cc12)C3CCC(=O)NC3=O,19,34,SUCCESS,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,-2.492,-0.269,-0.311,0.001,0.014,0.008,0.073,0.339,-5.295,4.41E-05,0.99,28.60%,0.538,74.50%,0.027,0.1,0.143,0.1,0.176,0.611,0.027,0.27,0.041,0.193,1.933,0.721,0.011,0.568,0.264,0.024,0.884,0.037,0.282,0.016,0.003,0.011,0.025,0.244,2.284,2.121,5.102,0.221,0.004,0.323,0.016,0.436,0.019,0.006,0.068,0.007,0.01,0.036,0.007,259.1,251.277,1.031,6,3,92.5,1,3,9,6,0,19,0.053,1,0,0,5,0,0,4,0,1,0.549,2.969,0.308,59,0.277,0,0,0,0,Accepted,Accepted,Accepted,Accepted
ECHOTHIOPHATE IODIDE,,[I-].CCO[P](=O)(OCC)SCC[N+](C)(C)C,16,34,SUCCESS,CCOP(=O)(OCC)SCC[N+](C)(C)C,0.275,-0.072,-0.952,0,0.018,0.202,0.964,0.856,-5.628,9.99E-06,0.16,10.63%,0.756,92.73%,0.016,0.946,0.026,0.053,0.004,0.602,0.001,0.897,0.005,0.048,4.753,0.955,0.013,0.068,0.006,0.015,0.878,0.824,0.153,0.598,0.067,0.09,0.922,0.28,1.976,4.16,6.547,0.001,0.003,0.004,0.075,0.189,0.016,0.004,0.272,0.005,0.003,0.003,0.002,256.11,241.242,1.062,4,0,35.53,8,0,0,6,1,1,8,0,0,0,0,0,0,1,1,0,0.494,3.305,1,0,0.294,0,1,0,0,Accepted,Accepted,Accepted,Accepted
CINOXACIN,,CCN1N=C(C(O)=O)C(=O)c2cc3OCOc3cc12,19,34,SUCCESS,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,-2.907,0.262,0.513,0.001,0.001,0.005,0.018,0.079,-4.934,1.92E-05,0.109,75.40%,1.02,16.60%,0.232,0.372,0.044,0.062,0.021,0.122,0.029,0.138,0.029,0.026,4.184,0.403,0.027,0.194,0.963,0.131,0.016,0.121,0.084,0.933,0.004,0.09,0.956,0.451,2.785,2.792,3.218,0.083,0.171,0.633,0.012,0.157,0.013,0.028,0.062,0.127,0.058,0.044,0.606,262.06,240.565,1.089,7,1,90.65,2,3,13,7,0,17,0.118,0,0,0,0,0,0,1,0,2,0.862,2.427,0.25,36.267,-0.736,3,0,0,0,Accepted,Accepted,Accepted,Accepted
PRILOCAINE HYDROCHLORIDE,,[H+].[Cl-].CCCNC(C)C(=O)Nc1ccccc1C,18,34,SUCCESS,CCCNC(C)C(=O)Nc1ccccc1C,-1.287,2.163,1.974,0.002,0.772,0.004,0.008,0.225,-4.499,2.17E-05,0.457,30.80%,1.873,59.89%,0.117,0.594,0.084,0.879,0.009,0.105,0.584,0.892,0.058,0.444,5.106,0.78,0.062,0.8,0.456,0.093,0.915,0.062,0.153,0.067,0.008,0.035,0.909,0.605,2.463,3.479,3.762,0.019,0.002,0.024,0.004,0.134,0.004,0.002,0.029,0.008,0.017,0.012,0.007,220.16,245.086,0.898,3,2,41.13,6,1,6,3,0,7,0.857,1,0,0,1,0,0,4,0,1,0.799,2.063,0.462,14,-1.488,0,0,0,0,Accepted,Accepted,Accepted,Accepted
GUANABENZ ACETATE,,CC(O)=O.NC(N)=N\N=C\c1c(Cl)cccc1Cl,18,34,SUCCESS,N=C(N)N/N=C/c1c(Cl)cccc1Cl,-3.13,1.294,2.357,0,0.996,0.005,0.007,0.482,-5.038,6.99E-05,0.514,97.27%,5.324,4.04%,0.765,0.913,0.04,0.308,0.021,0.439,0.568,0.774,0.022,0.159,6.197,0.498,0.382,0.127,0.773,0.341,0.845,0.883,0.532,0.612,0.004,0.034,0.589,0.344,3.986,4.781,5.554,0.006,0.001,0.522,0.004,0.051,0.022,0.004,0.175,0.005,0.067,0.015,0.008,230.01,199.595,1.152,4,4,74.26,3,1,6,6,0,8,0.375,0,0,0,0,0,1,0,1,2,0.412,2.569,0,7,-1.538,1,0,0,0,Accepted,Accepted,Accepted,Accepted
MAZINDOL,,OC1(N2CCN=C2c3ccccc13)c4ccc(Cl)cc4,20,34,SUCCESS,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,-4.352,3.217,2.968,0.791,0.992,0.003,0.006,0.002,-4.52,2.17E-05,0.998,88.25%,1.186,14.16%,0.26,0.126,0.512,0.894,0.712,0.572,0.806,0.516,0.459,0.926,1.295,0.064,0.041,0.129,0.679,0.019,0.975,0.938,0.133,0.874,0.003,0.034,0.38,1.03,2.176,4.332,4.339,0.01,0.006,0.707,0.025,0.24,0.005,0.007,0.401,0.007,0.002,0.274,0.038,284.07,278.606,1.02,3,1,35.83,1,4,12,4,0,20,0.05,1,1,0,0,0,1,1,1,0,0.874,2.986,0.188,69.632,-0.16,0,0,0,0,Accepted,Accepted,Accepted,Accepted
CAPSAICIN,,COc1cc(CNC(=O)CCCC\C=C\C(C)C)ccc1O,22,34,SUCCESS,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,-3.689,3.525,3.211,0.002,0.006,0.021,0.886,0.919,-4.569,2.77E-05,0.075,98.92%,0.324,1.53%,0.707,0.847,0.861,0.805,0.71,0.942,0.837,0.882,0.899,0.242,6.629,0.904,0.047,0.383,0.052,0.021,0.051,0.063,0.644,0.03,0.004,0.057,0.035,1.042,4.223,4.747,5.713,0.082,0.004,0.063,0.022,0.147,0.007,0.036,0.178,0.043,0.182,0.262,0.019,305.2,335.513,0.91,4,2,58.56,10,1,6,4,0,8,1.25,0,0,0,0,0,0,5,0,1,0.539,2.19,0.5,8,0.538,2,0,1,0,Accepted,Rejected,Accepted,Accepted
